"id","name","city","country_code","state_province","latitude","longitude","ports","power_kw","power_class","is_fast_dc"
126916,PKN Orlen ul. Warszawska,Częstochowa,PL,śląskie,50.835088,19.153785,2,50,DC_FAST_(50-149kW),true
125914,Tatra Green House,Zakopane,PL,Zakopane,49.287141,19.982867,1,4,AC_L1_(<7.5kW),false
125906,Miejska i Powiatowa Biblioteka Publiczna PGE,Bełchatów,PL,łódzkie,51.366031,19.368168,2,50,DC_FAST_(50-149kW),true
125659,KFC MOP Olsze Południe,Olsze,PL,"",53.888358,18.629605,2,50,DC_FAST_(50-149kW),true
125657,KFC MOP Olsze Północ,Olsze,PL,"",53.887858,18.632726,2,50,DC_FAST_(50-149kW),true
125656,BP - Port Kopytkowo,Smętowo Graniczne,PL,Mazowieckie,53.740809,18.638981,2,75,DC_FAST_(50-149kW),true
125490,Hotel Lidia Spa & Wellness,Darlowo,PL,"",54.437617,16.376414,1,22,AC_HIGH_(22-49kW),false
125489,Green Mountain 5* Hotel and Apartment,Karpacz,PL,"",50.7639,15.764443,1,22,AC_HIGH_(22-49kW),false
118596,Serwis Samochodów Elektrycznych Electro AutoBodo,Łódź,PL,"",51.750608,19.535068,1,9,AC_L2_(7.5-21kW),false
118595,Manufaktura,Łódź,PL,Lodzkie,51.779826,19.445019,2,3,AC_L1_(<7.5kW),false
118580,Greenway BRW Grudziądz,Grudziądz,PL,"",53.447598,18.727216,2,50,DC_FAST_(50-149kW),true
118304,Zajazd Zacisze,Rymanow Zdroj,PL,"",49.554229,21.850182,1,22,AC_HIGH_(22-49kW),false
114651,Almond Gdansk Hotel & Spa,Gdansk,PL,"",54.343802,18.65007,2,22,AC_HIGH_(22-49kW),false
114478,Politechnika Częstochowska,Częstochowa,PL,śląskie,50.82075,19.117082,6,22,AC_HIGH_(22-49kW),false
114469,Dworzec PKP Częstochowa,Częstochowa,PL,śląskie,50.808282,19.120262,2,22,AC_HIGH_(22-49kW),false
114121,Vienna House Amber Baltic,Miedzyzdroje,PL,"",53.933668,14.451784,2,22,AC_HIGH_(22-49kW),false
113969,Krakow Valley Golf Village,Paczoltowice,PL,"",50.185054,19.652667,1,11,AC_L2_(7.5-21kW),false
113919,Inx Design Hotel,Krakow,PL,"",50.051056,19.95106,1,22,AC_HIGH_(22-49kW),false
113870,Metropolis Design Hotel,"31-106",PL,Krakow,50.05734,19.927252,1,22,AC_HIGH_(22-49kW),false
113830,Hotel St. Bruno,Gizycko,PL,"",54.035583,21.760281,1,11,AC_L2_(7.5-21kW),false
113731,Hotel Szczawnica Park Resort Spa****,Szczawnica,PL,"",49.426031,20.475977,1,22,AC_HIGH_(22-49kW),false
113493,Greenway PORT RADOMSKO,Radomsko,PL,łódzkie,51.084,19.379176,2,50,DC_FAST_(50-149kW),true
113459,"Lotos MOP 817, Krzyżanów Wschód/East","",PL,łódzkie,52.182325,19.487707,2,43,AC_HIGH_(22-49kW),false
113458,"Lotos MOP 819, Krzyżanów Zachód",Krzyżanówek,PL,łódzkie,52.18619,19.486322,2,43,AC_HIGH_(22-49kW),false
113842,Vienna House Easy Katowice,Katowice,PL,Silisian Voiodeship,50.26365,19.016287,1,22,AC_HIGH_(22-49kW),false
113456,GreenWay Stacja Paliw Bliska Łyszkowice,Łyszkowice,PL,łódzkie,51.985525,19.910499,2,43,AC_HIGH_(22-49kW),false
113454,Orlen Siewierz,Siewierz,PL,śląskie,50.465933,19.229803,2,50,DC_FAST_(50-149kW),true
112810,GreenWay - Pomorski Park Naukowo-Technologiczny,Gdynia,PL,Pomorskie,54.495446,18.537121,2,22,AC_HIGH_(22-49kW),false
112526,Siedziba Orlen Płock,Płock,PL,mazowieckie,52.586487,19.650319,2,50,DC_FAST_(50-149kW),true
112468,Parkuj i jedź P&R Grodzisk Mazowiecki,Grodzisk Mazowiecki,PL,mazowieckie,52.112961,20.623582,4,50,DC_FAST_(50-149kW),true
109151,Ilonn Boutique,Poznan,PL,"",52.397273,16.897631,2,22,AC_HIGH_(22-49kW),false
109018,Aura Centrum Olsztyna,Olsztyn,PL,"",53.777127,20.482815,2,17,AC_L2_(7.5-21kW),false
108758,Witek Hotel & Conference Centre,Modlniczka,PL,"",50.10544,19.843967,2,11,AC_L2_(7.5-21kW),false
108749,Ilonn Hotel,Poznan,PL,"",52.458816,16.881011,1,22,AC_HIGH_(22-49kW),false
106200,Tadeusza Kościuszki,Henkenhagen,PL,Kreis Kolberg,54.21808,15.761957,1,11,AC_L2_(7.5-21kW),false
106198,Osada Sniezka,Lomnica,PL,"",50.857819,15.783663,2,22,AC_HIGH_(22-49kW),false
105560,Willa Poprad,Rytro,PL,"",49.490912,20.682234,2,17,AC_L2_(7.5-21kW),false
105382,Hotel Kazimierzowka,Kazimierz Dolny,PL,"",51.323349,21.95577,1,22,AC_HIGH_(22-49kW),false
